Node	Mean_FA	Std_FA
1	0.309808724	0.14130614278507578
2	0.3614382575	0.12468474026306679
3	0.41874927700000003	0.11876755822566075
4	0.4640736214999999	0.1162946933159074
5	0.4971614505	0.11465253970714823
6	0.5160736479999999	0.1122144894784116
7	0.527859603	0.11143287459602197
8	0.5303518945000001	0.11040681392207903
9	0.5293524115	0.110363501898607
10	0.5291875030000001	0.11046634964156532
11	0.529633502	0.10824835419214765
12	0.5312238225	0.10658371876027492
13	0.5345353895	0.10782761493283083
14	0.5395807124999998	0.11118676319127795
15	0.5472068950000001	0.11601631578299625
16	0.5555199620000001	0.11824820208764714
17	0.5627399815	0.11908750630699833
18	0.5672790415	0.12098987198618898
19	0.5681989185	0.12249045073652752
20	0.5687401635	0.12439980804616915
21	0.567952147	0.12504665064548598
22	0.565736894	0.1269150852097877
23	0.5598502320000001	0.1293908549247676
24	0.5559568939999999	0.13115723721096054
25	0.5513636974999999	0.13397246669345145
26	0.54790756	0.13498622542738933
27	0.545144721	0.13445497631834807
28	0.5418682655	0.13381582489211352
29	0.5373808225000001	0.13238758344143806
30	0.53338995	0.13215045098347591
31	0.528373053	0.13052958140469167
32	0.5238947505000001	0.13092697412928161
33	0.5223898980000001	0.13063274530193858
34	0.523533664	0.12897839320256188
35	0.5262548699999999	0.12838878418743072
36	0.529678584	0.12809943891028372
37	0.5328123475	0.12824214955472305
38	0.5359326	0.12755319979426968
39	0.5375060955000001	0.12740721182215523
40	0.53790921	0.127709562217838
41	0.5381900985	0.12971431313070766
42	0.5378457085	0.13219807753343957
43	0.5365887845	0.1350608653918494
44	0.5355635465	0.13817540187753335
45	0.53599893	0.13888400520323696
46	0.5371624840000001	0.13884822040467612
47	0.537556964	0.13846275691455048
48	0.5374306815	0.13720902102628876
49	0.5379893635	0.13580319453070586
50	0.5388516364999999	0.13553426604705845
51	0.539088176	0.13415783372516096
52	0.5392323994999999	0.13372199298647564
53	0.53938806	0.13406718557366012
54	0.539300436	0.13578347116489436
55	0.537637997	0.13815459397851262
56	0.5365410334999999	0.13676952882713744
57	0.5350518015	0.13639448060487577
58	0.533804008	0.13455277478780764
59	0.5328685855	0.13264567310608957
60	0.5318437865000001	0.13151535583981344
61	0.5315756194999999	0.12973170767952777
62	0.5296052019999999	0.12968224487517221
63	0.5280148345	0.13002677405429464
64	0.5265383800000001	0.1309569150307069
65	0.523850597	0.13098718866081988
66	0.5198071649999999	0.12960287271077836
67	0.5178918730000001	0.1283856981529484
68	0.5175376615	0.12899843587561866
69	0.5191449825	0.13000050384374673
70	0.5229587214999999	0.13195672726097238
71	0.5271681939999999	0.13384829366687545
72	0.5312791645	0.13498280153730277
73	0.5370574320000001	0.13498642614866715
74	0.54099554	0.13416638929636146
75	0.54568791	0.13222888358066248
76	0.5498986455	0.12984917663124296
77	0.5547098735000001	0.12762294055866258
78	0.5573409985	0.12639871459163937
79	0.5601622679999999	0.12418520683371809
80	0.562437389	0.12241871914794154
81	0.564365772	0.12208170520532115
82	0.565073404	0.1207691142966768
83	0.5649915885000001	0.11902280107586168
84	0.5602670775	0.11899438858635736
85	0.5547476105000001	0.11720503563591882
86	0.5489804075	0.11490451515101785
87	0.543307459	0.11107446488805787
88	0.5359519675000001	0.10918007244845722
89	0.532994171	0.10718784392483313
90	0.5342157949999999	0.10752272368020994
91	0.5346127605000001	0.10798592094162528
92	0.534479515	0.10915922737146386
93	0.5353053635000001	0.1095454038919995
94	0.531302764	0.11156479865541735
95	0.5196229880000001	0.11250849381721972
96	0.49580178049999996	0.11299045166192452
97	0.461491685	0.11436385672795675
98	0.4161047195	0.11922944017739631
99	0.35988170025	0.12782340280266677
100	0.30845002345	0.1436460040074127
