Node	Mean_FA	Std_FA
1	0.3055903758	0.1420622304392637
2	0.34913422294999996	0.12203960738666585
3	0.39754982215	0.11173784721037817
4	0.4414015735	0.1123899244755214
5	0.4799161876	0.1163588182502479
6	0.5080216535	0.12019597343455136
7	0.524691649	0.11959466735261397
8	0.532383653	0.11723419081861758
9	0.53871172	0.11290133228515721
10	0.5425687265	0.1076349212133683
11	0.545879764	0.10410027749422424
12	0.5471764605	0.10178190739300733
13	0.548638342	0.10124164507623287
14	0.551295167	0.10284062307636258
15	0.5560242324999999	0.10340149810642865
16	0.5622998565	0.10381077626181662
17	0.568136211	0.10408558457471241
18	0.5739020145000001	0.10656629326905315
19	0.5792837439999999	0.10566218823862751
20	0.5828574215000001	0.10498143450499331
21	0.5857511955	0.10542399498340693
22	0.586607756	0.10631467948594664
23	0.5854141075	0.10934493101350935
24	0.5849141575	0.11160300912930193
25	0.585128921	0.11232575056640356
26	0.5855618890000001	0.1122538785758084
27	0.5857005624999999	0.11246834666604195
28	0.585542508	0.1132648101898273
29	0.585773452	0.11290660585768597
30	0.5854553444999999	0.11344604454171552
31	0.5859714484999999	0.11306657764707376
32	0.5847531324999999	0.11424061273109283
33	0.5830717824999999	0.11633047550888913
34	0.582314949	0.11591681391696258
35	0.5817493819999999	0.11576457157410873
36	0.58235393	0.11452314215379567
37	0.5819936069999999	0.11472950112270812
38	0.5813928180000001	0.11585001636601905
39	0.5807002709999999	0.11776853453912597
40	0.5797062025	0.11881406953633643
41	0.579553769	0.11986315398869538
42	0.5796214795000001	0.12043505232536283
43	0.57982828	0.12267114953781946
44	0.5792739094999999	0.12368947946003678
45	0.5796835985000001	0.12383313870958222
46	0.581294038	0.12411447464536036
47	0.5824175375	0.12556283412550232
48	0.583403192	0.12594942601334347
49	0.5846289405	0.1264383454006726
50	0.5849074085000001	0.12651472067981248
51	0.5859424885	0.12572340025945555
52	0.586650586	0.12640728665216253
53	0.5867131905000001	0.12611291018125942
54	0.586165689	0.12637832985893682
55	0.586217099	0.1263873407989238
56	0.5849914875	0.12636313544444644
57	0.5852529435000001	0.12471657976553685
58	0.5867378045	0.12303019138068046
59	0.5878456515	0.12179720033991491
60	0.5874072680000001	0.12000734557529047
61	0.586721731	0.11881586938241537
62	0.5856893310000001	0.11751102565501113
63	0.5848982610000001	0.11672245301372676
64	0.5841785029999998	0.11580835312971728
65	0.583852095	0.11590409450528709
66	0.58623612	0.11539917595865479
67	0.58764476	0.11484539943525
68	0.5884848755000001	0.11634331230467444
69	0.5896622235	0.11570985004215041
70	0.5887369445	0.1146055331572239
71	0.5874587185	0.11551856565322541
72	0.5887054835	0.11420075025454988
73	0.590140873	0.11410360622877384
74	0.590646592	0.1134324766643647
75	0.5903819095	0.11332248086334336
76	0.588171371	0.11388507675659831
77	0.587354786	0.1131427986174184
78	0.5875317155	0.11163907822348702
79	0.5866880125	0.10963397325765163
80	0.585108207	0.10924147914360595
81	0.582412959	0.10925275265608544
82	0.578511545	0.10865724425226891
83	0.5735797145	0.10729724556124218
84	0.5669943415	0.10696309679365927
85	0.5604365525	0.10582986374844651
86	0.5534766885	0.10436432439218579
87	0.5480609515000001	0.10415033186005423
88	0.545089651	0.1035288303088215
89	0.543206772	0.10316924548140603
90	0.542739238	0.10623477857783249
91	0.5413553744999999	0.11057836478328535
92	0.5387293635	0.11358961866262396
93	0.5345658885	0.11681887974191563
94	0.5266884245	0.11876912573117972
95	0.512335129	0.11777013816452371
96	0.48294446900000004	0.11430780557983902
97	0.443675706	0.1132258538057125
98	0.39757223384999996	0.11177846457656548
99	0.3451658196	0.12140696046226558
100	0.3011746028	0.13795145016038574
